Регион,Нацпроект,Назначено,Исполнено,Процент исполнения
Центральный федеральный округ,"Национальный проект ""Эффективная транспортная система""",3438.83,0,0.0
Центральный федеральный округ,"Национальный проект ""Экономика данных и цифровая трансформация государства""",173.81,0.7,0.4
Центральный федеральный округ,"Национальный проект ""Экологическое благополучие""",1832.8,249.17,13.59
Центральный федеральный округ,"Национальный проект ""Эффективная и конкурентная экономика""",2177.47,1108.69,50.92
Центральный федеральный округ,"ациональный проект ""Молодежь и дети""",74979.63,12005.42,16.01
Центральный федеральный округ,"Национальный проект ""Семья""",101047.16,13752.68,13.61
Белгородская область,Всего в рамках национальных проектов,22713.38,3853.94,16.97
Белгородская область,"Национальный проект ""Образование""",-,-,0.0
Белгородская область,"Национальный проект ""Жилье и городская среда""",52.45,3.77,7.18
Белгородская область,"Национальный проект ""Экология""",-,-,0.0
Белгородская область,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Белгородская область,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Белгородская область,"Национальный проект ""Производительность труда""",-,-,0.0
Белгородская область,"Национальный проект ""Здравоохранение""",-,-,0.0
Белгородская область,"Национальный проект ""Демография""",-,-,0.0
Белгородская область,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Белгородская область,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Белгородская область,"Национальный проект ""Беспилотные авиационные системы""",1.5,0,0.0
Белгородская область,"Национальный проект ""Продолжительная и активная жизнь""",2776.55,304.62,10.97
Белгородская область,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",338.01,0,0.0
Белгородская область,"Национальный проект ""Инфраструктура для жизни""",8759.81,1447.47,16.52
Белгородская область,"Национальный проект ""Кадры""",-,-,0.0
Белгородская область,"Национальный проект ""Туризм и гостеприимство""",54.47,0,0.0
Белгородская область,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Белгородская область,"Национальный проект ""Экономика данных и цифровая трансформация государства""",13.01,0,0.0
Белгородская область,"Национальный проект ""Экологическое благополучие""",5.93,0.21,3.54
Белгородская область,"Национальный проект ""Эффективная и конкурентная экономика""",21.76,21.76,100.0
Белгородская область,"ациональный проект ""Молодежь и дети""",5536.91,1134.86,20.5
Белгородская область,"Национальный проект ""Семья""",5152.98,941.25,18.27
Брянская область,Всего в рамках национальных проектов,10153.24,2055.14,20.24
Брянская область,"Национальный проект ""Образование""",-,-,0.0
Брянская область,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Брянская область,"Национальный проект ""Экология""",-,-,0.0
Брянская область,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Брянская область,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Брянская область,"Национальный проект ""Производительность труда""",-,-,0.0
Брянская область,"Национальный проект ""Здравоохранение""",-,-,0.0
Брянская область,"Национальный проект ""Демография""",-,-,0.0
Брянская область,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Брянская область,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Брянская область,"Национальный проект ""Беспилотные авиационные системы""",6,0,0.0
Брянская область,"Национальный проект ""Продолжительная и активная жизнь""",1470.11,1080.99,73.53
Брянская область,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",51.98,0,0.0
Брянская область,"Национальный проект ""Инфраструктура для жизни""",4028.73,369.81,9.18
Брянская область,"Национальный проект ""Кадры""",4.77,0,0.0
Брянская область,"Национальный проект ""Туризм и гостеприимство""",30.48,0,0.0
Брянская область,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Брянская область,"Национальный проект ""Экономика данных и цифровая трансформация государства""",75.43,0,0.0
Брянская область,"Национальный проект ""Экологическое благополучие""",8.88,0,0.0
Брянская область,"Национальный проект ""Эффективная и конкурентная экономика""",24.41,24.41,100.0
Брянская область,"ациональный проект ""Молодежь и дети""",2270.23,358.33,15.78
Брянская область,"Национальный проект ""Семья""",2182.22,221.6,10.15
Владимирская область,Всего в рамках национальных проектов,17110.57,2762.6,16.15
Владимирская область,"Национальный проект ""Образование""",-,-,0.0
Владимирская область,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Владимирская область,"Национальный проект ""Экология""",-,-,0.0
Владимирская область,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Владимирская область,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Владимирская область,"Национальный проект ""Производительность труда""",-,-,0.0
Владимирская область,"Национальный проект ""Здравоохранение""",-,-,0.0
Владимирская область,"Национальный проект ""Демография""",-,-,0.0
Владимирская область,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Владимирская область,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Владимирская область,"Национальный проект ""Беспилотные авиационные системы""",9,0,0.0
Владимирская область,"Национальный проект ""Продолжительная и активная жизнь""",2891.99,522.15,18.05
Владимирская область,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",0.06,0,0.0
Владимирская область,"Национальный проект ""Инфраструктура для жизни""",5626.57,1370.71,24.36
Владимирская область,"Национальный проект ""Кадры""",33.25,0,0.0
Владимирская область,"Национальный проект ""Туризм и гостеприимство""",183.07,0,0.0
Владимирская область,"Национальный проект ""Эффективная транспортная система""",3342.43,0,0.0
Владимирская область,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Владимирская область,"Национальный проект ""Экологическое благополучие""",91.17,35.78,39.25
Владимирская область,"Национальный проект ""Эффективная и конкурентная экономика""",34.51,22.17,64.25
Владимирская область,"ациональный проект ""Молодежь и дети""",1579.79,286.24,18.12
Владимирская область,"Национальный проект ""Семья""",3318.73,525.55,15.84
Воронежская область,Всего в рамках национальных проектов,27336.65,4015.89,14.69
Воронежская область,"Национальный проект ""Образование""",-,-,0.0
Воронежская область,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Воронежская область,"Национальный проект ""Экология""",-,-,0.0
Воронежская область,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Воронежская область,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Воронежская область,"Национальный проект ""Производительность труда""",-,-,0.0
Воронежская область,"Национальный проект ""Здравоохранение""",-,-,0.0
Воронежская область,"Национальный проект ""Демография""",-,-,0.0
Воронежская область,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Воронежская область,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Воронежская область,"Национальный проект ""Беспилотные авиационные системы""",7.5,0,0.0
Воронежская область,"Национальный проект ""Продолжительная и активная жизнь""",5863.44,28.45,0.49
Воронежская область,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",588.05,0,0.0
Воронежская область,"Национальный проект ""Инфраструктура для жизни""",10691.87,2162.85,20.23
Воронежская область,"Национальный проект ""Кадры""",9.95,0,0.0
Воронежская область,"Национальный проект ""Туризм и гостеприимство""",567.62,0,0.0
Воронежская область,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Воронежская область,"Национальный проект ""Экономика данных и цифровая трансформация государства""",13.01,0,0.0
Воронежская область,"Национальный проект ""Экологическое благополучие""",49.39,12.6,25.51
Воронежская область,"Национальный проект ""Эффективная и конкурентная экономика""",187.57,137.57,73.34
Воронежская область,"ациональный проект ""Молодежь и дети""",2849.73,433.76,15.22
Воронежская область,"Национальный проект ""Семья""",6508.53,1240.66,19.06
Ивановская область,Всего в рамках национальных проектов,10318.71,1795.69,17.4
Ивановская область,"Национальный проект ""Образование""",-,-,0.0
Ивановская область,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Ивановская область,"Национальный проект ""Экология""",-,-,0.0
Ивановская область,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Ивановская область,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Ивановская область,"Национальный проект ""Производительность труда""",-,-,0.0
Ивановская область,"Национальный проект ""Здравоохранение""",-,-,0.0
Ивановская область,"Национальный проект ""Демография""",-,-,0.0
Ивановская область,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Ивановская область,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Ивановская область,"Национальный проект ""Беспилотные авиационные системы""",7.5,0,0.0
Ивановская область,"Национальный проект ""Продолжительная и активная жизнь""",1607.9,747.3,46.48
Ивановская область,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",3.79,0,0.0
Ивановская область,"Национальный проект ""Инфраструктура для жизни""",4737.63,427.17,9.02
Ивановская область,"Национальный проект ""Кадры""",245.93,4.79,1.95
Ивановская область,"Национальный проект ""Туризм и гостеприимство""",44.09,0,0.0
Ивановская область,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Ивановская область,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Ивановская область,"Национальный проект ""Экологическое благополучие""",3.16,0,0.0
Ивановская область,"Национальный проект ""Эффективная и конкурентная экономика""",38.32,18.32,47.81
Ивановская область,"ациональный проект ""Молодежь и дети""",1968.31,247.02,12.55
Ивановская область,"Национальный проект ""Семья""",1662.08,351.09,21.12
Калужская область,Всего в рамках национальных проектов,12145.67,1761.67,14.5
Калужская область,"Национальный проект ""Образование""",-,-,0.0
Калужская область,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Калужская область,"Национальный проект ""Экология""",-,-,0.0
Калужская область,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Калужская область,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Калужская область,"Национальный проект ""Производительность труда""",-,-,0.0
Калужская область,"Национальный проект ""Здравоохранение""",-,-,0.0
Калужская область,"Национальный проект ""Демография""",-,-,0.0
Калужская область,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Калужская область,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Калужская область,"Национальный проект ""Беспилотные авиационные системы""",10.65,7.65,71.83
Калужская область,"Национальный проект ""Продолжительная и активная жизнь""",1477.46,189.62,12.83
Калужская область,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",27.95,0,0.0
Калужская область,"Национальный проект ""Инфраструктура для жизни""",5401.6,780.52,14.45
Калужская область,"Национальный проект ""Кадры""",20.31,0,0.0
Калужская область,"Национальный проект ""Туризм и гостеприимство""",84.75,0,0.0
Калужская область,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Калужская область,"Национальный проект ""Экономика данных и цифровая трансформация государства""",41.99,0.7,1.67
Калужская область,"Национальный проект ""Экологическое благополучие""",5.97,0.5,8.38
Калужская область,"Национальный проект ""Эффективная и конкурентная экономика""",21.76,14.8,68.01
Калужская область,"ациональный проект ""Молодежь и дети""",2504.41,285.98,11.42
Калужская область,"Национальный проект ""Семья""",2548.84,481.9,18.91
Костромская область,Всего в рамках национальных проектов,7775.05,1661.61,21.37
Костромская область,"Национальный проект ""Образование""",-,-,0.0
Костромская область,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Костромская область,"Национальный проект ""Экология""",-,-,0.0
Костромская область,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Костромская область,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Костромская область,"Национальный проект ""Производительность труда""",-,-,0.0
Костромская область,"Национальный проект ""Здравоохранение""",-,-,0.0
Костромская область,"Национальный проект ""Демография""",-,-,0.0
Костромская область,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Костромская область,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Костромская область,"Национальный проект ""Беспилотные авиационные системы""",30.75,0,0.0
Костромская область,"Национальный проект ""Продолжительная и активная жизнь""",1451.54,377.06,25.98
Костромская область,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",14.65,0,0.0
Костромская область,"Национальный проект ""Инфраструктура для жизни""",3543.23,835.17,23.57
Костромская область,"Национальный проект ""Кадры""",5.12,0,0.0
Костромская область,"Национальный проект ""Туризм и гостеприимство""",44.38,0,0.0
Костромская область,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Костромская область,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Костромская область,"Национальный проект ""Экологическое благополучие""",221.86,0,0.0
Костромская область,"Национальный проект ""Эффективная и конкурентная экономика""",-,-,0.0
Костромская область,"ациональный проект ""Молодежь и дети""",1785.49,332.16,18.6
Костромская область,"Национальный проект ""Семья""",678.04,117.23,17.29
Курская область,Всего в рамках национальных проектов,14586.98,2694.25,18.47
Курская область,"Национальный проект ""Образование""",-,-,0.0
Курская область,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Курская область,"Национальный проект ""Экология""",-,-,0.0
Курская область,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Курская область,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Курская область,"Национальный проект ""Производительность труда""",-,-,0.0
Курская область,"Национальный проект ""Здравоохранение""",-,-,0.0
Курская область,"Национальный проект ""Демография""",-,-,0.0
Курская область,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Курская область,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Курская область,"Национальный проект ""Беспилотные авиационные системы""",1.5,0,0.0
Курская область,"Национальный проект ""Продолжительная и активная жизнь""",2545.64,1335.84,52.48
Курская область,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",14.23,0,0.0
Курская область,"Национальный проект ""Инфраструктура для жизни""",5539.79,297.02,5.36
Курская область,"Национальный проект ""Кадры""",211.78,0,0.0
Курская область,"Национальный проект ""Туризм и гостеприимство""",72.1,0,0.0
Курская область,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Курская область,"Национальный проект ""Экономика данных и цифровая трансформация государства""",13.02,0,0.0
Курская область,"Национальный проект ""Экологическое благополучие""",43.68,19.37,44.35
Курская область,"Национальный проект ""Эффективная и конкурентная экономика""",20.34,19.34,95.09
Курская область,"ациональный проект ""Молодежь и дети""",2755.54,426.27,15.47
Курская область,"Национальный проект ""Семья""",3369.35,596.41,17.7
Липецкая область,Всего в рамках национальных проектов,19640.58,3476.99,17.7
Липецкая область,"Национальный проект ""Образование""",-,-,0.0
Липецкая область,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Липецкая область,"Национальный проект ""Экология""",-,-,0.0
Липецкая область,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Липецкая область,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Липецкая область,"Национальный проект ""Производительность труда""",-,-,0.0
Липецкая область,"Национальный проект ""Здравоохранение""",-,-,0.0
Липецкая область,"Национальный проект ""Демография""",-,-,0.0
Липецкая область,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Липецкая область,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Липецкая область,"Национальный проект ""Беспилотные авиационные системы""",9,0,0.0
Липецкая область,"Национальный проект ""Продолжительная и активная жизнь""",1830.49,624.29,34.11
Липецкая область,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",8.05,0,0.0
Липецкая область,"Национальный проект ""Инфраструктура для жизни""",8392.66,1485.74,17.7
Липецкая область,"Национальный проект ""Кадры""",5.3,0,0.0
Липецкая область,"Национальный проект ""Туризм и гостеприимство""",61.63,0,0.0
Липецкая область,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Липецкая область,"Национальный проект ""Экономика данных и цифровая трансформация государства""",13.01,0,0.0
Липецкая область,"Национальный проект ""Экологическое благополучие""",491.75,74.41,15.13
Липецкая область,"Национальный проект ""Эффективная и конкурентная экономика""",360.23,29.01,8.05
Липецкая область,"ациональный проект ""Молодежь и дети""",3072.08,335.92,10.93
Липецкая область,"Национальный проект ""Семья""",5396.38,927.61,17.19
Московская область,Всего в рамках национальных проектов,114140.25,26197.38,22.95
Московская область,"Национальный проект ""Образование""",-,-,0.0
Московская область,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Московская область,"Национальный проект ""Экология""",-,-,0.0
Московская область,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Московская область,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Московская область,"Национальный проект ""Производительность труда""",-,-,0.0
Московская область,"Национальный проект ""Здравоохранение""",-,-,0.0
Московская область,"Национальный проект ""Демография""",-,-,0.0
Московская область,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Московская область,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Московская область,"Национальный проект ""Беспилотные авиационные системы""",30.75,0,0.0
Московская область,"Национальный проект ""Продолжительная и активная жизнь""",14047.57,1129.44,8.04
Московская область,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",69.94,0,0.0
Московская область,"Национальный проект ""Инфраструктура для жизни""",76888.47,20384.57,26.51
Московская область,"Национальный проект ""Кадры""",8.1,0,0.0
Московская область,"Национальный проект ""Туризм и гостеприимство""",524.06,0,0.0
Московская область,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Московская область,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Московская область,"Национальный проект ""Экологическое благополучие""",402.86,79.98,19.85
Московская область,"Национальный проект ""Эффективная и конкурентная экономика""",120.89,120.89,100.0
Московская область,"ациональный проект ""Молодежь и дети""",9017.77,2035.88,22.58
Московская область,"Национальный проект ""Семья""",13029.84,2446.62,18.78
Орловская область,Всего в рамках национальных проектов,8571.28,610.05,7.12
Орловская область,"Национальный проект ""Образование""",-,-,0.0
Орловская область,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Орловская область,"Национальный проект ""Экология""",-,-,0.0
Орловская область,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Орловская область,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Орловская область,"Национальный проект ""Производительность труда""",-,-,0.0
Орловская область,"Национальный проект ""Здравоохранение""",-,-,0.0
Орловская область,"Национальный проект ""Демография""",-,-,0.0
Орловская область,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Орловская область,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Орловская область,"Национальный проект ""Беспилотные авиационные системы""",2.25,2.25,100.0
Орловская область,"Национальный проект ""Продолжительная и активная жизнь""",1208.64,98.73,8.17
Орловская область,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",2.52,0,0.0
Орловская область,"Национальный проект ""Инфраструктура для жизни""",4258.53,33.18,0.78
Орловская область,"Национальный проект ""Кадры""",191.62,0.78,0.41
Орловская область,"Национальный проект ""Туризм и гостеприимство""",40.36,0,0.0
Орловская область,"Национальный проект ""Эффективная транспортная система""",96.4,0,0.0
Орловская область,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Орловская область,"Национальный проект ""Экологическое благополучие""",3.12,0,0.0
Орловская область,"Национальный проект ""Эффективная и конкурентная экономика""",9.67,9.67,100.0
Орловская область,"ациональный проект ""Молодежь и дети""",1901.32,329.24,17.32
Орловская область,"Национальный проект ""Семья""",856.85,136.21,15.9
Рязанская область,Всего в рамках национальных проектов,29813.42,1435.28,4.81
Рязанская область,"Национальный проект ""Образование""",-,-,0.0
Рязанская область,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Рязанская область,"Национальный проект ""Экология""",-,-,0.0
Рязанская область,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Рязанская область,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Рязанская область,"Национальный проект ""Производительность труда""",-,-,0.0
Рязанская область,"Национальный проект ""Здравоохранение""",-,-,0.0
Рязанская область,"Национальный проект ""Демография""",-,-,0.0
Рязанская область,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Рязанская область,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Рязанская область,"Национальный проект ""Беспилотные авиационные системы""",1683.55,0,0.0
Рязанская область,"Национальный проект ""Продолжительная и активная жизнь""",2910.39,265.86,9.13
Рязанская область,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",81.41,0,0.0
Рязанская область,"Национальный проект ""Инфраструктура для жизни""",17802.35,200.51,1.13
Рязанская область,"Национальный проект ""Кадры""",13.29,0,0.0
Рязанская область,"Национальный проект ""Туризм и гостеприимство""",84.15,0,0.0
Рязанская область,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Рязанская область,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Рязанская область,"Национальный проект ""Экологическое благополучие""",118.38,0,0.0
Рязанская область,"Национальный проект ""Эффективная и конкурентная экономика""",213.35,26.6,12.47
Рязанская область,"ациональный проект ""Молодежь и дети""",3649.18,330.67,9.06
Рязанская область,"Национальный проект ""Семья""",3257.39,611.64,18.78
Смоленская область,Всего в рамках национальных проектов,12591.82,1860.29,14.77
Смоленская область,"Национальный проект ""Образование""",-,-,0.0
Смоленская область,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Смоленская область,"Национальный проект ""Экология""",-,-,0.0
Смоленская область,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Смоленская область,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Смоленская область,"Национальный проект ""Производительность труда""",-,-,0.0
Смоленская область,"Национальный проект ""Здравоохранение""",-,-,0.0
Смоленская область,"Национальный проект ""Демография""",-,-,0.0
Смоленская область,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Смоленская область,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Смоленская область,"Национальный проект ""Беспилотные авиационные системы""",12,0,0.0
Смоленская область,"Национальный проект ""Продолжительная и активная жизнь""",1444.33,484.99,33.58
Смоленская область,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",129.23,0,0.0
Смоленская область,"Национальный проект ""Инфраструктура для жизни""",6784.85,507.1,7.47
Смоленская область,"Национальный проект ""Кадры""",36.7,0,0.0
Смоленская область,"Национальный проект ""Туризм и гостеприимство""",118.74,0,0.0
Смоленская область,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Смоленская область,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Смоленская область,"Национальный проект ""Экологическое благополучие""",13.35,0.44,3.3
Смоленская область,"Национальный проект ""Эффективная и конкурентная экономика""",14.51,14.51,100.0
Смоленская область,"ациональный проект ""Молодежь и дети""",1618.67,353.67,21.85
Смоленская область,"Национальный проект ""Семья""",2419.44,499.58,20.65
Тамбовская область,Всего в рамках национальных проектов,10098.4,3440.33,34.07
Тамбовская область,"Национальный проект ""Образование""",-,-,0.0
Тамбовская область,"Национальный проект ""Жилье и городская среда""",-,-,0.0
