Регион,Нацпроект,Назначено,Исполнено,Процент исполнения
Луганская Народная Республика,"Национальный проект ""Туризм и гостеприимство""",113.64,0,0.0
Луганская Народная Республика,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Луганская Народная Республика,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Луганская Народная Республика,"Национальный проект ""Экологическое благополучие""",474.38,150.06,31.63
Луганская Народная Республика,"Национальный проект ""Эффективная и конкурентная экономика""",37.19,0,0.0
Луганская Народная Республика,"ациональный проект ""Молодежь и дети""",1998.93,341.19,17.07
Луганская Народная Республика,"Национальный проект ""Семья""",1204.26,23.66,1.96
Федеральная территория «Сириус»,Всего в рамках национальных проектов,-,-,0.0
Федеральная территория «Сириус»,"Национальный проект ""Образование""",-,-,0.0
Федеральная территория «Сириус»,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Федеральная территория «Сириус»,"Национальный проект ""Экология""",-,-,0.0
Федеральная территория «Сириус»,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Федеральная территория «Сириус»,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Федеральная территория «Сириус»,"Национальный проект ""Производительность труда""",-,-,0.0
Федеральная территория «Сириус»,"Национальный проект ""Здравоохранение""",-,-,0.0
Федеральная территория «Сириус»,"Национальный проект ""Демография""",-,-,0.0
Федеральная территория «Сириус»,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Федеральная территория «Сириус»,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Федеральная территория «Сириус»,"Национальный проект ""Беспилотные авиационные системы""",-,-,0.0
Федеральная территория «Сириус»,"Национальный проект ""Продолжительная и активная жизнь""",-,-,0.0
Федеральная территория «Сириус»,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",-,-,0.0
Федеральная территория «Сириус»,"Национальный проект ""Инфраструктура для жизни""",-,-,0.0
Федеральная территория «Сириус»,"Национальный проект ""Кадры""",-,-,0.0
Федеральная территория «Сириус»,"Национальный проект ""Туризм и гостеприимство""",-,-,0.0
Федеральная территория «Сириус»,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Федеральная территория «Сириус»,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Федеральная территория «Сириус»,"Национальный проект ""Экологическое благополучие""",-,-,0.0
Федеральная территория «Сириус»,"Национальный проект ""Эффективная и конкурентная экономика""",-,-,0.0
Федеральная территория «Сириус»,"ациональный проект ""Молодежь и дети""",-,-,0.0
Федеральная территория «Сириус»,"Национальный проект ""Семья""",-,-,0.0
Херсонская область,Всего в рамках национальных проектов,1962.41,57.85,2.95
Херсонская область,"Национальный проект ""Образование""",-,-,0.0
Херсонская область,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Херсонская область,"Национальный проект ""Экология""",-,-,0.0
Херсонская область,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Херсонская область,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Херсонская область,"Национальный проект ""Производительность труда""",-,-,0.0
Херсонская область,"Национальный проект ""Здравоохранение""",-,-,0.0
Херсонская область,"Национальный проект ""Демография""",-,-,0.0
Херсонская область,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Херсонская область,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Херсонская область,"Национальный проект ""Беспилотные авиационные системы""",-,-,0.0
Херсонская область,"Национальный проект ""Продолжительная и активная жизнь""",336.53,0,0.0
Херсонская область,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",2.55,0,0.0
Херсонская область,"Национальный проект ""Инфраструктура для жизни""",342.21,0,0.0
Херсонская область,"Национальный проект ""Кадры""",-,-,0.0
Херсонская область,"Национальный проект ""Туризм и гостеприимство""",-,-,0.0
Херсонская область,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Херсонская область,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Херсонская область,"Национальный проект ""Экологическое благополучие""",167.51,0,0.0
Херсонская область,"Национальный проект ""Эффективная и конкурентная экономика""",9.27,0,0.0
Херсонская область,"ациональный проект ""Молодежь и дети""",585.81,38.76,6.62
Херсонская область,"Национальный проект ""Семья""",518.52,19.09,3.68
Дальневосточный федеральный округ,Всего в рамках национальных проектов,200128.98,32507.14,16.24
Дальневосточный федеральный округ,"Национальный проект ""Образование""",,,0.0
Дальневосточный федеральный округ,"Национальный проект ""Жилье и городская среда""",0,-1.15,0.0
Дальневосточный федеральный округ,"Национальный проект ""Экология""",,,0.0
Дальневосточный федеральный округ,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",,,0.0
Дальневосточный федеральный округ,"Национальный проект ""Туризм и индустрия гостеприимства""",,,0.0
Дальневосточный федеральный округ,"Национальный проект ""Производительность труда""",,,0.0
Дальневосточный федеральный округ,"Национальный проект ""Здравоохранение""",,,0.0
Дальневосточный федеральный округ,"Национальный проект ""Демография""",,,0.0
Дальневосточный федеральный округ,"Национальный проект ""Безопасные качественные дороги""",,,0.0
Дальневосточный федеральный округ,"Национальный проект ""Международная кооперация и экспорт""",,,0.0
Дальневосточный федеральный округ,"Национальный проект ""Беспилотные авиационные системы""",228.01,30,13.16
Дальневосточный федеральный округ,"Национальный проект ""Продолжительная и активная жизнь""",29132.16,5068.85,17.4
Дальневосточный федеральный округ,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",789.87,0,0.0
Дальневосточный федеральный округ,"Национальный проект ""Инфраструктура для жизни""",87769.67,15532.73,17.7
Дальневосточный федеральный округ,"Национальный проект ""Кадры""",1824.45,59.5,3.26
Дальневосточный федеральный округ,"Национальный проект ""Туризм и гостеприимство""",1582.52,19.79,1.25
Дальневосточный федеральный округ,"Национальный проект ""Эффективная транспортная система""",4942.56,97.95,1.98
Дальневосточный федеральный округ,"Национальный проект ""Экономика данных и цифровая трансформация государства""",48.22,7.06,14.64
Дальневосточный федеральный округ,"Национальный проект ""Экологическое благополучие""",5381.64,885.68,16.46
Дальневосточный федеральный округ,"Национальный проект ""Эффективная и конкурентная экономика""",1049.66,478.29,45.57
Дальневосточный федеральный округ,"ациональный проект ""Молодежь и дети""",34931.01,4646.32,13.3
Дальневосточный федеральный округ,"Национальный проект ""Семья""",32449.2,5682.12,17.51
Республика Саха (Якутия),Всего в рамках национальных проектов,30280.95,6721.26,22.2
Республика Саха (Якутия),"Национальный проект ""Образование""",-,-,0.0
Республика Саха (Якутия),"Национальный проект ""Жилье и городская среда""",-,-,0.0
Республика Саха (Якутия),"Национальный проект ""Экология""",-,-,0.0
Республика Саха (Якутия),"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Республика Саха (Якутия),"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Республика Саха (Якутия),"Национальный проект ""Производительность труда""",-,-,0.0
Республика Саха (Якутия),"Национальный проект ""Здравоохранение""",-,-,0.0
Республика Саха (Якутия),"Национальный проект ""Демография""",-,-,0.0
Республика Саха (Якутия),"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Республика Саха (Якутия),"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Республика Саха (Якутия),"Национальный проект ""Беспилотные авиационные системы""",32.25,0,0.0
Республика Саха (Якутия),"Национальный проект ""Продолжительная и активная жизнь""",6012.84,1190.86,19.81
Республика Саха (Якутия),"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",11.37,0,0.0
Республика Саха (Якутия),"Национальный проект ""Инфраструктура для жизни""",11988.98,3287.49,27.42
Республика Саха (Якутия),"Национальный проект ""Кадры""",30,0,0.0
Республика Саха (Якутия),"Национальный проект ""Туризм и гостеприимство""",35.67,0,0.0
Республика Саха (Якутия),"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Республика Саха (Якутия),"Национальный проект ""Экономика данных и цифровая трансформация государства""",13.01,0,0.0
Республика Саха (Якутия),"Национальный проект ""Экологическое благополучие""",19.73,3.2,16.2
Республика Саха (Якутия),"Национальный проект ""Эффективная и конкурентная экономика""",9.05,1.8,19.88
Республика Саха (Якутия),"ациональный проект ""Молодежь и дети""",5977.06,894.98,14.97
Республика Саха (Якутия),"Национальный проект ""Семья""",6150.99,1342.94,21.83
Забайкальский край,Всего в рамках национальных проектов,26153.68,6074.84,23.23
Забайкальский край,"Национальный проект ""Образование""",-,-,0.0
Забайкальский край,"Национальный проект ""Жилье и городская среда""",0,-1.15,0.0
Забайкальский край,"Национальный проект ""Экология""",-,-,0.0
Забайкальский край,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Забайкальский край,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Забайкальский край,"Национальный проект ""Производительность труда""",-,-,0.0
Забайкальский край,"Национальный проект ""Здравоохранение""",-,-,0.0
Забайкальский край,"Национальный проект ""Демография""",-,-,0.0
Забайкальский край,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Забайкальский край,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Забайкальский край,"Национальный проект ""Беспилотные авиационные системы""",40.5,28.5,70.37
Забайкальский край,"Национальный проект ""Продолжительная и активная жизнь""",3159.63,653.57,20.68
Забайкальский край,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",361.96,0,0.0
Забайкальский край,"Национальный проект ""Инфраструктура для жизни""",14782.08,3751.04,25.38
Забайкальский край,"Национальный проект ""Кадры""",32.68,0,0.0
Забайкальский край,"Национальный проект ""Туризм и гостеприимство""",52.1,0,0.0
Забайкальский край,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Забайкальский край,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Забайкальский край,"Национальный проект ""Экологическое благополучие""",2178.3,877.58,40.29
Забайкальский край,"Национальный проект ""Эффективная и конкурентная экономика""",-,-,0.0
Забайкальский край,"ациональный проект ""Молодежь и дети""",3111.77,467.74,15.03
Забайкальский край,"Национальный проект ""Семья""",2434.67,297.57,12.22
Камчатский край,Всего в рамках национальных проектов,12238.78,1211.26,9.9
Камчатский край,"Национальный проект ""Образование""",-,-,0.0
Камчатский край,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Камчатский край,"Национальный проект ""Экология""",-,-,0.0
Камчатский край,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Камчатский край,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Камчатский край,"Национальный проект ""Производительность труда""",-,-,0.0
Камчатский край,"Национальный проект ""Здравоохранение""",-,-,0.0
Камчатский край,"Национальный проект ""Демография""",-,-,0.0
Камчатский край,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Камчатский край,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Камчатский край,"Национальный проект ""Беспилотные авиационные системы""",3,1.5,50.0
Камчатский край,"Национальный проект ""Продолжительная и активная жизнь""",2743.12,139.53,5.09
Камчатский край,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",0.68,0,0.0
Камчатский край,"Национальный проект ""Инфраструктура для жизни""",4753.68,552.8,11.63
Камчатский край,"Национальный проект ""Кадры""",66.01,4,6.06
Камчатский край,"Национальный проект ""Туризм и гостеприимство""",678.15,6.16,0.91
Камчатский край,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Камчатский край,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Камчатский край,"Национальный проект ""Экологическое благополучие""",738.62,0,0.0
Камчатский край,"Национальный проект ""Эффективная и конкурентная экономика""",128.07,17.13,13.37
Камчатский край,"ациональный проект ""Молодежь и дети""",1779.68,329.58,18.52
Камчатский край,"Национальный проект ""Семья""",1347.78,160.57,11.91
Приморский край,Всего в рамках национальных проектов,30718.09,4285.49,13.95
Приморский край,"Национальный проект ""Образование""",-,-,0.0
Приморский край,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Приморский край,"Национальный проект ""Экология""",-,-,0.0
Приморский край,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Приморский край,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Приморский край,"Национальный проект ""Производительность труда""",-,-,0.0
Приморский край,"Национальный проект ""Здравоохранение""",-,-,0.0
Приморский край,"Национальный проект ""Демография""",-,-,0.0
Приморский край,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Приморский край,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Приморский край,"Национальный проект ""Беспилотные авиационные системы""",18.75,0,0.0
Приморский край,"Национальный проект ""Продолжительная и активная жизнь""",6431.45,757.49,11.78
Приморский край,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",26.54,0,0.0
Приморский край,"Национальный проект ""Инфраструктура для жизни""",12033.51,1999.68,16.62
Приморский край,"Национальный проект ""Кадры""",846.35,0,0.0
Приморский край,"Национальный проект ""Туризм и гостеприимство""",198.64,0,0.0
Приморский край,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Приморский край,"Национальный проект ""Экономика данных и цифровая трансформация государства""",35.21,7.06,20.04
